annotation_id,image_id,file_name,image_width,image_height,category_id,category_label,bbox_X,bbox_Y,bbox_width,bbox_height
0,1,00001.jpg,1280,720,1,Bad color,246,423,337,209
1,2,00005.jpg,1280,720,3,Absorption,566,351,67,73
2,3,00006.jpg,1280,720,2,Anthrax,957,200,131,136
3,4,00008.jpg,1280,720,1,Bad color,560,49,483,493
4,5,00009.jpg,1280,720,1,Bad color,595,454,142,97
5,6,00011.jpg,1280,720,2,Anthrax,331,527,39,24
6,7,00012.jpg,1280,720,3,Absorption,529,160,185,138
7,8,00016.jpg,1280,720,1,Bad color,577,241,178,184
8,9,00017.jpg,1280,720,2,Anthrax,545,259,45,47
9,10,00018.jpg,1344,1008,2,Anthrax,405,362,50,56
10,10,00018.jpg,1344,1008,2,Anthrax,819,187,66,58
11,10,00018.jpg,1344,1008,2,Anthrax,674,675,54,66
12,10,00018.jpg,1344,1008,2,Anthrax,424,620,58,58
13,10,00018.jpg,1344,1008,2,Anthrax,315,258,40,48
14,11,00019.jpg,1536,1152,2,Anthrax,614,320,253,245
15,12,00020.jpg,1280,720,1,Bad color,252,245,215,339
16,13,00021.jpg,1280,720,1,Bad color,414,381,96,143
17,14,00023.jpg,1280,720,1,Bad color,438,91,278,577
18,14,00023.jpg,1280,720,3,Absorption,127,371,490,307
19,15,00025.jpg,1152,1536,1,Bad color,84,1018,918,518
20,15,00025.jpg,1152,1536,1,Bad color,84,447,503,569
21,15,00025.jpg,1152,1536,2,Anthrax,637,933,255,187
22,15,00025.jpg,1152,1536,2,Anthrax,268,669,100,116
23,15,00025.jpg,1152,1536,2,Anthrax,357,577,130,121
24,15,00025.jpg,1152,1536,2,Anthrax,465,503,79,48
25,16,00028.jpg,1152,1536,2,Anthrax,812,467,47,61
26,16,00028.jpg,1152,1536,2,Anthrax,718,736,61,64
27,17,00029.jpg,1280,720,1,Bad color,3,9,643,526
28,18,00032.jpg,1280,720,2,Anthrax,287,338,94,78
29,18,00032.jpg,1280,720,2,Anthrax,518,289,32,38
30,19,00033.jpg,1344,1008,2,Anthrax,465,254,347,236
31,19,00033.jpg,1344,1008,2,Anthrax,860,303,52,47
32,19,00033.jpg,1344,1008,2,Anthrax,753,506,41,33
33,19,00033.jpg,1344,1008,2,Anthrax,818,456,34,24
34,19,00033.jpg,1344,1008,2,Anthrax,704,672,32,22
35,19,00033.jpg,1344,1008,2,Anthrax,868,664,34,38
36,19,00033.jpg,1344,1008,2,Anthrax,548,744,38,26
37,19,00033.jpg,1344,1008,2,Anthrax,532,596,32,29
38,19,00033.jpg,1344,1008,2,Anthrax,559,630,24,27
39,20,00036.jpg,1280,720,1,Bad color,447,396,188,89
40,21,00038.jpg,1280,720,2,Anthrax,896,393,37,27
41,21,00038.jpg,1280,720,2,Anthrax,872,363,46,29
42,22,00041.jpg,1344,1008,2,Anthrax,626,564,44,33
43,22,00041.jpg,1344,1008,2,Anthrax,504,333,59,49
44,22,00041.jpg,1344,1008,2,Anthrax,920,371,48,33
45,22,00041.jpg,1344,1008,3,Absorption,765,594,201,53
46,23,00044.jpg,1280,720,2,Anthrax,668,103,24,31
47,23,00044.jpg,1280,720,2,Anthrax,703,103,21,25
48,24,00045.jpg,1280,720,2,Anthrax,674,176,38,83
49,25,00046.jpg,1280,720,5,Black spot,1015,256,59,94
50,25,00046.jpg,1280,720,1,Bad color,775,87,324,425
51,26,00050.jpg,1280,720,1,Bad color,482,274,265,210
52,27,00051.jpg,1280,720,1,Bad color,208,177,331,276
53,28,00052.jpg,1152,1536,2,Anthrax,278,397,364,541
54,28,00052.jpg,1152,1536,2,Anthrax,261,948,108,122
55,29,00054.jpg,1280,720,1,Bad color,181,79,737,461
56,30,00056.jpg,1280,720,2,Anthrax,554,455,89,71
57,31,00059.jpg,1280,720,1,Bad color,150,293,304,211
58,32,00062.jpg,1280,720,1,Bad color,245,326,225,164
59,33,00063.jpg,1280,720,2,Anthrax,566,335,71,49
60,33,00063.jpg,1280,720,1,Bad color,476,166,277,150
61,34,00064.jpg,1280,720,1,Bad color,550,255,329,358
62,35,00068.jpg,1152,1536,2,Anthrax,823,979,47,72
63,35,00068.jpg,1152,1536,2,Anthrax,708,680,68,68
64,35,00068.jpg,1152,1536,2,Anthrax,468,788,47,68
65,36,00069.jpg,1280,720,1,Bad color,143,257,254,210
66,37,00072.jpg,1280,720,1,Bad color,304,437,162,141
67,38,00075.jpg,1280,720,2,Anthrax,627,107,52,27
68,39,00076.jpg,1088,816,2,Anthrax,576,493,29,37
69,40,00077.jpg,1344,1008,2,Anthrax,919,604,29,33
70,41,00080.jpg,1280,720,1,Bad color,731,215,143,217
